image,caption,token_len
"44856031_0d82c2c7d1.jpg,""A","tan , male dog is jumping up to get a drink of water from a spraying bottle .""",16
"1022975728_75515238d8.jpg,This",is a black dog splashing in the water .,8
"3381584882_341ee3092f.jpg,A",snowboarder in the air near a red barrel .,8
"2046222127_a6f300e202.jpg,Man",with short hair moves wooden structure .,6
"2230067846_74046b89d3.jpg,Two",boys hold their feet in their hands while balancing on one foot .,12
"1405221276_21634dcd58.jpg,Two",dogs shaking themselves dry on the sand .,7
"278007543_99f5a91a3e.jpg,A",brown dog is running past wooden posts on the beach .,10
"542317719_ed4dd95dc2.jpg,A",young boy wearing a red coat is playing in a long tunnel .,12
"2246717855_c0c08fe5d2.jpg,three",Japanese people wait for the train .,6
"1510669311_75330b4781.jpg,Five",smiling young ladies at a party .,6
"519059913_4906fe4050.jpg,A",young boy jumping upside-down into a pool .,8
"3630102841_b4c3e00b2c.jpg,Men",wearing hats walk on the street .,6
"2822290399_97c809d43b.jpg,""A","white dog runs along a path , trailing a leash .""",9
"3285180819_a9712fd2bc.jpg,A",basketball player in blue is attempting to block a player in white during a game .,15
"2752926645_801a198ff6.jpg,A",man stands against a tree while holding a drink .,9
"2272489996_95b0a62d15.jpg,Two",dogs with black and white markings running with their mouths open .,11
"3382105769_b1a4e4c60d.jpg,A",dog running with something in his mouth in shallow water .,10
"3373544964_c9f1253b7d.jpg,""A","boy and his dog are standing on a trampoline , enjoying each others company .""",13
"2756591658_3ca6db1595.jpg,two",people on the top of a cliff,7
"408627152_1feaa4b94e.jpg,A",dog in a life jacket sitting on a boat with a man in the cockpit .,15
"3565749152_7924d15b04.jpg,A",white dog catches a red Frisbee in the grass .,9
"1394396709_65040d97ab.jpg,A",dog with a water pack is walking through clear green water .,11
"3631474374_e40764d153.jpg,Woman",is showing a large Star of David to young students .,10
"2337809114_899ba61330.jpg,Two",young children are playing with a teenage girl who is blindfolded .,11
"2887103049_a867e74358.jpg,A",skateboarder performs a trick .,4
"241345844_69e1c22464.jpg,A",football player from OU talks to the coach about the game .,11
"472860064_a96a228796.jpg,A",dog jumps through the grass .,5
"3451085951_e66f7f5d5c.jpg,A",white dog plays on the beach near a large city .,10
"2980348138_91cc6f6d0f.jpg,""Man","climbs crack in rock face at top left of frame , tree at lower right .""",14
"887108308_2da97f15ef.jpg,A",woman walks hand-in-hand with a little boy who looks like he 's pulling out a wedgie,18
"2428086758_bce4733f7e.jpg,A",big brown dog sniffs a smaller dog in the gravel beside a body of water .,15
"3682038869_585075b5ff.jpg,A",young girl hiding behind a tree in a forest .,9
"3066429707_842e50b8f7.jpg,A",young girl is kicking a soccer ball in the grass .,10
"3119875880_22f9129a1c.jpg,A",man watches two small boys playing in a naturally formed rock .,11
"1430154945_71bbaa094a.jpg,Woman",sitting at table feeding child who is sitting on her lap,11
"2593695271_4d9cc9bd6f.jpg,Three",asian children with backpacks walking down a brick street .,9
"3652572138_34d6b72999.jpg,A",boy jumps .,2
"541063517_35044c554a.jpg,A",man sits on a cliff and looks out over another mountain .,11
"3553056438_4e611a7a2a.jpg,A",little boy kissing a girl on a stack of hay .,10
"1952896009_cee8147c90.jpg,A",woman carrying large bags walks down the street .,8
