image,caption,token_len
"2354456107_bf5c766a05.jpg,""An","African-American man wearing a green sweatshirt and blue vest is holding up 2 dollar bills in front of his face , while standing on a busy sidewalk in front of a group of men playing instruments .""",36
"1499495021_d295ce577c.jpg,""A","dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf .""",32
"130211457_be3f6b335d.jpg,A",girl in a red and black leotard with white writing is standing next to a man in a cap and a girl in a hot pink and black and white checkered outfit .,32
"1472249944_d887c3aeda.jpg,A",woman in an orange coat and jeans is squatting on a rock wall while a blonde woman in a red jacket stands next to her on the wall checking her electronic device,32
"2970461648_fe14ba0359.jpg,""a","young child in a t-shirt on a bike stands in on a road in front of a beach , while others are on the sand near the water in the background .""",31
"2687328779_b4356dab16.jpg,""While","one white dog is outside the pool , another white dog with a black spot on its back is jumping into a plastic swimming pool while getting sprayed by a garden hose .""",31
"3322443827_a04a94bb91.jpg,A",well-groomed young man wearing dark trousers and a military-style jacket takes a puff from a cigarette in his left hand while holding a cup in his right hand .,30
"2774430374_fee1d793e7.jpg,""A","little boy holds a bat waiting for the pitch on a tiled outdoor area wearing a red shirt , white shorts , and blue flip flops that are too big for him .""",30
"2077346067_0a3a5aae65.jpg,A",man dressed in black and holding a package in his hands is walking on a sidewalk near a police sign asking for witnesses to a road dealth to step forward .,30
"3530843182_35af2c821c.jpg,a",man with sunglasses on his head is looking at the woman with a white hat and red scarf next to him whilst standing in front of a red sports car .,30
"2752809449_632cd991b3.jpg,A",woman with a ponytail dressed in jean shorts and a black tank top sitting on the lap of a man with camo shorts and a white shirt on a subway .,30
"3108378861_d2214d971e.jpg,""A","man in a white tank top , blue jeans and glasses sitting on a rock with a woman in a white tank top , blue jeans and glasses standing over him .""",29
"3136404885_f4d8f1d15a.jpg,A",bald man in a striped shirt and jeans walks away from a mural of a red car with a blonde man wearing an orange and black jacket with jeans .,29
"3484841598_e26ee96aab.jpg,""A","catcher in a black uniform on the ground with his glove upraised during a baseball game , while a man UN a white uniform keeps a foot on the base .""",29
"3465396606_5ba1574128.jpg,A",blonde woman wearing a white top and black bottoms pushes a black stroller while a brunette male wearing a gray t-shirt and white shorts walks a brown dog .,29
"2906054175_e33af79522.jpg,One",musician is standing on a musical drum which has been lifted in the air by a few people at the concert and another musician is playing another musical instrument .,29
"1812525037_528465037c.jpg,""The","two young children are in black and white facepaint and costumes while riding in a stroller , they are being pushed by a man also in facepaint and a costume""",29
"2815256108_fc1302117d.jpg,""Two","men are talking on the street ; one is pointing at a sign that says """" Jesus or Hell """" beneath a red box , and the other is standing there listening .""",28
"1198194316_543cc7b945.jpg,A",man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .,28
"641893280_36fd6e886a.jpg,""Two","brown and white dogs , one a boxer and the other a terrier , play on a rock covered hill with a blue sky and powdery clouds in the background .""",28
